CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
A-07257-27842,10/1/07,9/13/07,CERTIFIED,FL,11/1/07,4/30/08,HERRINGSWELL STABLES,PO BOX 202,,LEWISVILLE,PA,19351,"INTERNATIONAL PERSONNEL RESOURCES, INC.",P.O. BOX 1507,WEST CHESTER,PA,STABLE ATTENDANT,15,8.73,HR,8.73,HR
A-07261-27932,10/1/07,9/18/07,CERTIFIED,PA,12/1/07,9/1/08,BARGEE FARMS,472 CEDAR RUN RD.,,ALLISON,PA,15101,,,,,"FARMWORKER, LIVESTOCK",3,7.72,HR,7.72,HR
C-07271-28125,10/1/07,9/28/07,PARTIAL CERTIFIED,MN,12/1/07,3/30/08,GREEN HORIZONS INC.,"6980 OXFORD ST., #228",,ST. LOUIS,MN,55416,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,PRODUCTION HELPER,50,9.01,HR,9.01,HR
C-07271-28129,10/1/07,9/28/07,PARTIAL CERTIFIED,TX,12/16/07,11/10/08,"RAY CAMMACK SHOWS, INC UNIT #1",1609 EAST JACKSON STREET,,HUGO,OK,74743,JAMES K JUDKINS,1609 EAST JACKSON,HUGO,OK,AMUSEMENT PARK WORKER,300,6.11,HR,7.74,HR
C-07268-28081,10/1/07,9/25/07,CERTIFIED,CA,10/22/07,6/30/08,JOSE'S CONCESSIONS,11279 TUSCOLANA STREET,,LAS VEGAS,NV,89141,"JKJ WORKFORCE,/TESS HARRISON",32755 FM 106,RIO HONDO,TX,AMUSEMENT PARK WORKER,50,7.58,HR,7.58,HR
C-07268-28083,10/1/07,9/25/07,CERTIFIED,CO,12/15/07,4/13/08,"CRESTED BUTTE, LLC",12 SNOWMASS ROAD,P.O. BOX 5700,MT.CRESTED BUTTE,CO,81225,,,,,"SALESPERSON, SPORTING GOODS",5,7.73,HR,8.16,HR
C-07268-28078,10/1/07,9/24/07,CERTIFIED,TX,10/15/07,4/30/08,BURNELL MARINE AND SUPPLY INC,2230 FISHERMAN'S PLACE RD,,BROWNSVILLE,TX,78521,ANTONIO VILLEDA,5414 N. 10TH ST,MCALLEN,TX,"DECKHAND, FISHING VESSEL",11,8.43,HR,8.43,HR
C-07260-27867,10/1/07,9/14/07,CERTIFIED,HI,10/15/07,9/19/08,"PC 800, INC",2222 KALAKAUA AVENUE #1418,,HONOLULU,HI,96815,LINDA DECKER,DECKER LAW GROUP,SAN DIEGO,CA,"MANAGER, EDUCATION AND TRAINING",1,30.16,HR,30.16,HR
C-07261-27916,10/1/07,9/18/07,CERTIFIED,CO,12/1/07,4/30/08,"LAWNTECH ENTERPRISES, INC.",5253 E. 38TH AVE.,,DENVER,CO,80207,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,SNOW SHOVELER,30,7.72,HR,7.72,HR
C-07268-28076,10/1/07,9/24/07,CERTIFIED,CA,10/15/07,8/15/08,"TAWA SUPERMARKET, INC",6363 REGIO AVENUE,,BUENA PARK,CA,90620,"FRIDA P. GLUCOFT,ESQ",MITCHELL SILBERBERG & KNUPP LLP,LOS ANGELES,CA,CHEF,3,15.28,HR,17.5,HR
