CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-11238-55484,10/4/11,8/26/11,DENIED,H-2B,CO,11/14/11,4/30/12,"L-O VAIL HOTEL, INC. DBA VAIL CASCADE RESORT & SPA",1300 WESTHAVEN DRIVE,,VAIL,CO,81657,AMY JILL NOVAK,VAIL,CO,211.482-018,Food-And-Beverage Checker,359099,"Food Preparation and Serving Related Workers, All Other",FOOD AND BEVERAGE CHECKER,20,0,8.11,HR,8.11,HR
C-11234-55450,10/6/11,8/22/11,CERTIFIED,H-2B,CO,10/6/11,4/15/12,PARK HYATT BEAVER CREEK,50 WEST THOMAS PLACE,,AVON,CO,81620,"CHRIS JONATHAN POOLEY, ESQ. / LAW OFFICE OF CHRIS",AVON,CO,318.687-010,Kitchen Helper,359021,Dishwashers,KITCHEN HELPER,15,15,,,,
C-11234-55452,10/6/11,8/22/11,CERTIFIED,H-2B,CO,10/1/11,4/15/12,PARK HYATT BEAVER CREEK,50 WEST THOMAS PLACE,,AVON,CO,81620,"CHRIS JONATHAN POOLEY, ESQ.",AVON,CO,620.664-014,Maintenance Mechanic Helper,499098,"Helpers--Installation, Maintenance, and Repair Workers",MAINTENANCE MECHANIC HELPER,5,5,15.26,HR,15.26,HR
C-11272-55599,10/6/11,9/29/11,CERTIFIED,H-2B,PA,12/1/11,7/15/12,ALFRESCO HOME,1000 ARMAND HAMMER BLVD,,POTTSTOWN,PA,19464,APRIL MCKINNEY,BAY CITY,TX,222.387-058,Stock Clerk,435081,Stock Clerks and Order Fillers,STOCK CLERK,4,4,8.3,HR,8.3,HR
C-11258-55547,10/12/11,9/15/11,CERTIFIED,H-2B,FL,11/1/11,7/31/12,"THE RITZ-CARLTON HOTEL COMPANY, LLC",DIRECTOR OF HUMAN RESOURCES,280 VANDERBILT BEACH ROAD,NAPLES,FL,34108,DANIEL ADRIAN WILLIAMSON,WASHINGTON,DC,323.687-014,"Cleaner, Housekeeping",372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",24,24,11.75,HR,11.75,HR
C-11259-55549,10/12/11,9/16/11,PARTIAL CERTIFIED,H-2B,TX,11/1/11,3/1/12,"WOOD ENT CO., INC.",111 OSIANA DRIVE,,SAN ANTONIO,TX,78248,ROBERT WAYNE PIERCE,ANNAPOLIS,MD,620.664-014,Maintenance Mechanic Helper,499098,"Helpers--Installation, Maintenance, and Repair Workers",MAINTENANCE MECHANIC HELPER,20,19,8.13,HR,8.13,HR
C-11259-55550,10/12/11,9/16/11,CERTIFIED,H-2B,FL,10/1/11,4/30/12,"B.A. GROUP, INC. DBA SOO-WOO JAPANESE STEAKHOUSE",9753 NW 41 ST,,DORAL,FL,33178,EMILIO FERNANDO MARTINEZ,MIAMI,FL,313.361-014,Cook,352014,"Cooks, Restaurant",COOK,3,3,13.61,HR,13.61,HR
C-11262-55553,10/12/11,9/19/11,CERTIFIED,H-2B,UT,11/1/11,4/30/12,SNOWBIRD CORPORATION,STATE HWY 210,P.O. BOX 929000,SANDY,UT,84092,"BARBARA V. MELENDEZ, KIRTON & MCCONKIE",SALT LAKE CITY,UT,153.227-018,"Instructor, Sports",399031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",13,13,10,HR,10,HR
C-11262-55555,10/12/11,9/19/11,PARTIAL CERTIFIED,H-2B,UT,11/1/11,5/15/12,SNOWBIRD CORPORATION,"3165 EAST MILLROCK DRIVE, SUITE 190",,SANDY,UT,84121,BARBARA V. MELENDEZ,SALT LAKE CITY,UT,311.677-018,Dining Room Attendant,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,DINING ROOM ATTENDANT,11,10,7.4,HR,7.4,HR
C-11262-55556,10/12/11,9/19/11,CERTIFIED,H-2B,UT,11/1/11,5/15/12,SNOWBIRD CORPORATION,PO BOX 929000,STATE HWY 210,SANDY,UT,84092,"BARBARA V. MELENDEZ, KIRTON & MCCONKIE",SALT LAKE CITY,UT,319.484-010,"Food Assembler, Kitchen",352021,Food Preparation Workers,"FOOD ASSEMBLER, KITCHEN",15,15,7.4,HR,7.4,HR
C-11262-55557,10/12/11,9/19/11,PARTIAL CERTIFIED,H-2B,UT,11/1/11,5/15/12,SNOWBIRD CORPORATION,STATE HWY 210,P.O. BOX 929000,SANDY,UT,84092,BARBARA V. MELENDEZ / KIRTON & MCCONKIE,SALT LAKE CITY,UT,341.665-010,Ski-Tow Operator,393091,Amusement and Recreation Attendants,SKI TOW OPERATOR,13,12,7.69,HR,7.69,HR
C-11263-55560,10/12/11,9/20/11,CERTIFIED,H-2B,CO,12/1/11,4/1/12,"GL, INC.",18126 EAST PEAKVIEW PLACE,,AURORA,CO,80016,VERITY CLAIR EISENMAN,EAGLE,CO,955.687-014,Snow Shoveler,519198,Helpers--Production Workers,SNOW SHOVELER,10,10,9.19,HR,9.19,HR
C-11263-55566,10/12/11,9/20/11,CERTIFIED,H-2B,LA,11/1/11,5/30/12,"CRAWFISH HOLE, INC.",143 CELINA DRIVE,,NATCHITOCHES,LA,71457,"LINDA D. WHITE / LINDA WHITE & ASSOCIATES, INC.",LIVINGSTON,LA,313.374-014,"Cook, Short Order",352015,"Cooks, Short Order","COOK, SHORT ORDER",6,6,7.35,HR,8.93,HR
