CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-11216-55354,1-Sep-11,4-Aug-11,DENIED,H-2B,PA,1-Sep-11,13-Dec-11,PARSONS ORCHARD,9114 FT MCCORD RD,,CHAMBERSBURG,PA,00000,JUAN C. LEMUS,CHAMBERSBURG,PA,401.687-010,"Farmworker, Grain II",452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","FARMWORKER, GRAIN II",1,0,,,,
C-11144-54959,7-Jul-11,24-May-11,DENIED,H-2B,DC,1-Jun-11,1-Jun-12,"GRIFFIN & MURPHY, LLP","1912 SUNDERLAND PLACE, NW",,WASHINGTON,DC,00000,SHAMEELA SARAH SHAH,WASHINGTON,DC,301.677-010,Child Monitor,399011,Child Care Workers,CHILD MONITOR,1,0,25000,MTH,25000,MTH
C-11186-55168,28-Jul-11,5-Jul-11,DENIED,H-2B,PR,1-Aug-11,31-Jul-12,NORMA M. RIVERA,36 CALLE CONCHA,,MANATI,PR,00674,,,,301.687-010,Caretaker,372012,Maids and Housekeeping Cleaners,CARETAKER,1,0,12.53,HR,12.53,HR
C-11098-54685,2-May-11,8-Apr-11,DENIED,H-2B,PR,25-Mar-11,25-Mar-12,FAST FOODS INVESTMENT CORP. DBA HAPPY PIZZA,PO BOX 11218,,CAPARRA HEIGHTS,PR,00922,FERNANDO OMAR ZAMBRANA-AVILES/ ATTORNEY AT LAW,BAYAMON,PR,313.131-014,Chef,351011,Chefs and Head Cooks,CHEF,1,0,19.3,HR,19.3,HR
C-10337-52140,14-Dec-10,3-Dec-10,DENIED,H-2B,PR,1-Jan-11,31-Dec-11,SONIA LUZ CAMACHO RODRIGUEZ,EL MIRADOR 110,"J. VELAZQUEZ ST., APT. 305",CAROLINA,PR,00987,FERNANDO OMAR ZAMBRANA-AVILES/ ATTORNEY AT LAW,BAYAMON,PR,309.674-014,Personal Attendant,399021,Personal and Home Care Aides,PERSONAL ATTENDANT,1,0,7.54,HR,7.54,HR
C-11048-54100,23-Feb-11,17-Feb-11,CERTIFIED,H-2B,PR,1-Jan-11,31-Dec-11,SONIA LUZ CAMACHO RODRIGUEZ,EL MIRADOR 110,"J. VELAZQUEZ ST., APT. 305",CAROLINA,PR,00987,FERNANDO OMAR ZAMBRANA-AVILES/ ATTORNEY AT LAW,BAYAMON,PR,309.674-014,Personal Attendant,399021,Personal and Home Care Aides,PERSONAL ATTENDANT,1,1,,,,
C-11038-53885,10-Feb-11,7-Feb-11,CERTIFIED,H-2B,MA,15-Apr-11,30-Nov-11,"SCONSET CAFE, LLC",40 HOP BROOK RD.,,AMHERST,MA,01002,MARK D. CARCHIDI,YARMOUTH PORT,MA,319.484-010,"Food Assembler, Kitchen",352021,Food Preparation Workers,"FOOD ASSEMBLER, KITCHEN",10,10,8.86,HR,8.86,HR
C-11088-54605,28-Apr-11,29-Mar-11,DENIED,H-2B,MA,4-Dec-10,1-Feb-11,WOLAN TOOLS CO.,64 GRAND STREET,,SPRINGFIELD,MA,01108,"KEVIN R. MURPHY, ESQ.",SPRINGFIELD,MA,632.281-010,Gunsmith,514081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",GUNSMITH,1,0,16.5,HR,16.5,HR
C-10356-52604,28-Dec-10,22-Dec-10,CERTIFIED,H-2B,MA,1-Apr-11,31-Oct-11,"CRYSTAL ROCK AMUSEMENTS, INC. DBA CASTLEROCK SHOWS",35 GRANT STREET,,PITSFIELD,MA,01201,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,30,30,357.2,WK,357.2,WK
C-11004-53043,11-Jan-11,4-Jan-11,CERTIFIED,H-2B,MA,1-Apr-11,31-Oct-11,"GILETTE SHOWS, INC.",291 PECKS ROAD,,PITTSFIELD,MA,01201,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,40,40,357.2,WK,357.2,WK
