CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-07207-26503,3/18/09,7/26/07,DENIED,IL,10/15/07,8/1/08,"SPHERE GLOBAL SOLUTIONS, INC.","1000 WEST ADAMS STREET, 603",603,CHICAGO,IL,60160,"JASON SAGER, ESQ.",BIRG & MELTSER,DEERFIELD,IL,SOFTWARE ENGINEER,0,35,HR,35,HR
C-07222-26927,3/17/09,8/10/07,DENIED,AR,10/1/07,7/31/08,"SECOND RESOURCE SERVICES, INC.",14961 MULDDON DRIVE,,ROGERS,AR,72756,GUILLERMO HERNANDEZ,"THE HERNANDEZ LAW FIRM, PLLC",LITTLE ROCK,AR,PLASTERER,0,8.26,HR,8.26,HR
C-07222-26928,3/17/09,8/10/07,DENIED,AR,10/1/07,7/31/08,"SECOND RESOURCE SERVICES, INC.",14961 MULDDON DRIVE,,ROGERS,AR,72756,GUILLERMO HERNANDEZ,"THE HERNANDEZ LAW FIRM, PLLC",LITTLE ROCK,AR,DRY WALL APPLICATOR,0,13.92,HR,13.92,HR
C-07233-27256,3/18/09,8/20/07,DENIED,LA,10/1/07,7/31/08,THE SHAW GROUP INC.,4171 ESSEN LANE,,BATON ROUGE,LA,70809,NORMA L. VEGA,ORANGE GENERAL CO.,LAS VEGAS,NV,"WELDER, COMBINATION",0,,,,
C-07236-27376,3/17/09,8/24/07,DENIED,LA,10/1/07,8/1/08,"NATIONAL BOILER SERVICE, INC",1000 WEST MT. PLEASANT ROAD,,ZACHARY,LA,70791,"SCOTT D. HERSHENSON, ESQ","HARRY D. POLATSEK, PA",FORT LAUDERDALE,FL,BOILERMAKER I,0,22.07,HR,22.07,HR
C-07241-27503,3/17/09,8/29/07,DENIED,AR,11/26/07,3/1/08,"EXPRESS FORESTRY, INC.",1231 HWY 254 WEST,,LESLIE,AR,72645,,,,,SEEDLING SORTER,0,6.22,HR,6.22,HR
C-07261-27885,3/19/09,9/17/07,DENIED,WY,12/1/07,8/31/08,COMFORT INN,1450 E. BRUNDAGE LN.,,SHERIDAN,WY,82801,,,,,"CLEANER, HOUSEKEEPING",0,6.54,HR,7,HR
C-07270-28106,3/18/09,9/27/07,DENIED,OH,11/2/07,9/1/08,REYES CONSTRUCTION,7188 GLENN MOOR DRIVE,,LIBERTY TOWNSHIP,OH,45011,ANNE RODRIGO,"WEBB & PILLICH, LLC",CINCINNATI,OH,CONSTRUCTION WORKER I,0,16.43,HR,13,HR
C-07275-28189,3/18/09,10/2/07,DENIED,UT,10/10/07,6/10/08,"ELDREDGE MASONRY, INC.",2391 WEST 870 SOUTH,,LEHI,UT,84043,J. ELLE COX,LAW OFFICES OF J. ELLE COX,SALT LAKE CITY,UT,"BRICKLAYER HELPER, FIREBRICK AND REFRACTORY TILE",0,13.39,HR,17,HR
C-07360-32756,3/10/09,12/21/07,CERTIFIED,MT,3/1/08,11/30/08,TN STAFFING SOLUTIONS,PO BOX 637,,PARIS,TN,38242,,,,,FAST FOODS WORKER,6,6.75,HR,7,HR
C-07360-32803,3/17/09,12/18/07,DENIED,SD,3/15/08,11/25/08,PETERS PROPERTIES DBA BEST WESTERN GOLDEN SPIKE,HWY  385/ HWY 16,P.O. BOX 300,HILL CITY,SD,57745,SANDRA AZINGER,"INTERNATIONAL HOSPITALITY RESOURCES, LLC",HOT SPRINGS,SD,KITCHEN HELPER,0,7.5,HR,7.5,HR
C-07361-32976,1/14/09,12/21/07,CERTIFIED,KS,2/25/08,12/19/08,CROSS COUNTRY LAWN & LANDSCAPE,13330 MOONLIGHT ROAD,,OLATHE,KS,66061,ALEJANDRO J. SOLORIO,"GARCIA, SOLORIO, & AVILA LLP",MISSION,KS,"LABORER, LANDSCAPE",12,8.33,HR,8.33,HR
C-08029-35611,3/17/09,1/29/08,DENIED,CO,6/1/08,9/30/08,"AA JANITORIAL & MANAGEMENT SERVICES, INC.",P.O. BOX 437,,BRECKENRIDGE,CO,80424,"ERIC A. FISHER, ESQ.",PO BOX 4865,FRISCO,CO,"CLEANER, HOUSEKEEPING",0,9.03,HR,9.17,HR
C-08087-36658,7/31/09,3/26/08,DENIED,NV,4/1/08,3/30/09,FAR EAST ALUMINUM WORKS (U.S.) CORP.,720 W. CHEYENE AVE.,#20,NORTH LAS VEGAS,NV,89030,LAW HUANG INTERNATIONAL LTD.,5820 SOUTH PECOS ROAD,LAS VEGAS,NV,"ASSEMBLER, METAL BUILDING",0,18.65,HR,20.22,HR
C-08121-36954,10/2/08,4/30/08,DENIED,LA,8/1/08,6/1/09,"NATIONAL BOILER SERVICE, INC.",176 NORTH INDUSTRIAL DRIVE,,TRENTON,GA,30752,LAUREN J. MORRISON,,FT. LAUDERDALE,FL,"WELDER, ARC",0,18.49,HR,24,HR
C-08122-36969,10/2/08,5/1/08,DENIED,LA,6/1/08,4/1/09,WORKFORCE INTERNATIONAL LLC,101 FEU FOLLET,SUITE 106,LAFAYETTE,LA,70508,LAW OFFICES OF MALVERN C. BURNETT,MALVERN C. BURNETT,NEW ORLEANS,LA,"WELDER, COMBINATION",0,15.08,HR,15.08,HR
C-08153-37224,11/6/08,6/1/08,FINAL REVIEW,GA,9/14/08,1/12/09,PROTECH TESTING,GST,,TEST,DC,20001,,,,,NONDESTRUCTIVE TESTER,0,1000,BI,1000,BI
C-08155-37270,10/8/08,6/3/08,DENIED,LA,9/1/08,5/30/09,CS&M ASSOCIATES DBA SHERATON NEW ORLEANS,500 CANAL STREET,,NEW ORLEANS,LA,70130,DOROTHY NICHOLSON / WALKER'S CONSULTING INC,1 CROSS ISLAND PLAZA,ROSEDALE,NY,DINING ROOM ATTENDANT,0,6.07,HR,9,HR
C-08158-37292,10/10/08,6/5/08,DENIED,AL,7/1/08,6/30/09,EAGLE INDUSTRIAL PROFESSIONAL SERVICES,562 EAST EXPRESSWAY 83,,SAN BENITO,TX,78586,WILLIAM P. VELIE,"210 EAST MAIN STREET, SUITE 222",NORMAN,OK,WELDER FITTER,0,12.43,HR,12.49,HR
C-08158-37293,10/3/08,6/5/08,DENIED,AL,8/1/08,5/31/09,PEOPLE INC.,"12520 OLIVE BLVD, PMB 360",,ST. LOUIS,MO,63141,"LOMA USA, INC./DAVID I. KOTICK",40-12 31ST AVENUE,ASTORIA,NY,"WELDER, COMBINATION",0,12.43,HR,12.43,HR
C-08168-37382,10/7/08,6/16/08,DENIED,MS,7/15/08,5/15/09,"A-TEAM CONNECTION, LLC",17555 S. HARRELLS FERRY RD.,,BATON ROUGE,LA,70816,,,,,WELDER FITTER,0,12.18,HR,12.18,HR
C-08168-37392,1/2/09,6/16/08,DENIED,TN,4/1/08,11/1/08,ALOHA POOLS & SPAS,614 CARRIAGE HOUSE DRIVE,,JACKSON,TN,38305,THE LAW FIRM OF DR. BEDE ANYANWU,50 STONEBRIDGE BLVD STE. 8,JACKSON,TN,SWIMMING POOL INSTALLER AND SERVICER,0,9.76,HR,9.76,HR
C-08175-37508,10/10/08,6/19/08,DENIED,LA,8/15/08,6/15/09,TRANSPORTATION SOLUTIONS LLC,120 PEYTRAL DR.,,RACELAND,LA,70394,LAW OFFICES OF MALVERN C. BURNETT,MALVERN C. BURNETT,NEW ORLEANS,LA,WELDER FITTER,0,15.85,HR,15.85,HR
C-08176-37564,10/9/08,6/24/08,DENIED,UT,10/2/08,8/2/09,"HEATON BROS ROOFING, INC.",3480 SOUTH 500 WEST,,SALT LAKE CITY,UT,84115,BARBARA V. MELENDEZ,KIRTON & MCCONKIE,SALT LAKE CITY,UT,ROOFER,0,8.4,HR,8.4,HR
C-08179-37663,10/8/08,6/27/08,DENIED,LA,5/15/08,6/1/09,"DAREN R. SNIDER CONSTRUCTION, LLC",155 RIVERMIST,,LAKE CHARLES,LA,70611,DON R. SNIDER,345 SHARON LANE,LAKE CHARLES,LA,CARPENTER,0,16.98,HR,16.98,HR
C-08182-37681,6/18/09,6/27/08,DENIED,NY,10/1/08,4/30/09,BENSON'S SEASONAL SERVICES INC,8280 COUNTY RD. 14,,IONIA,NY,14475,FEDERATION OF EMPLOYERS AND WORKERS  OF AMERICA,2901 BUCKS BAYOU ROAD,BAY CITY,TX,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",0,7.61,HR,7.77,HR
