CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,APPLICATION_TYPE,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-10008-48621,10-Feb-10,8-Jan-10,DENIED,H-2B,PR,1-Jan-10,1-Oct-10,CLARA N. ROSADO SANTANA,400 CALAF STREET,SUITE 415,SAN JUAN,PR,00918,VICTOR MANUEL RAMIREZ,MAYAGUEZ,PR,309.674-014,PERSONAL ATTENDANT,1,0,7.25,HR,7.25,HR
C-10032-49120,5-Feb-10,1-Feb-10,CERTIFIED,H-2B,MA,1-Apr-10,1-Nov-10,SIX FLAGS NEW ENGLAND,1623 MAIN STREET,,AGAWAM,MA,01001,THE MCNAMARA FIRM L.P.,AUSTIN,TX,349.664-010,AMUSEMENT PARK WORKER,25,25,8.08,HR,8.08,HR
C-10020-48880,25-Jan-10,19-Jan-10,CERTIFIED,H-2B,MA,15-Apr-10,15-Nov-10,SCONSET CAFE LLC,40 HOP BROOK ROAD,,AMHERST,MA,01002,MARK CARCHIDI,YARMOUTH  PORT,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",10,10,,,,
C-10239-50929,17-Sep-10,27-Aug-10,DENIED,H-2B,MA,1-Oct-10,28-Feb-11,KONAMI B INC,35 WILLOW ST. #103,,SPRINGFIELD,MA,01103,LIAT NOFEAR RAHATLEV / MOT DEAD SEA INC.,PANAMA CITY BEACH,FL,262.357-018,"SALESPERSON, COSMETICS AND TOILETRIES",36,0,,,,
C-10165-50270,6-Jul-10,14-Jun-10,DENIED,H-2B,MA,1-May-10,30-Apr-11,WOLAN TOOLS CO.,64 GRAND STREET,,SPRINGFIELD,MA,01108,"KEVIN R. MURPHY, ESQ.",SPRINGFIELD,MA,632.281-010,GUNSMITH,1,0,30.36,HR,30.36,HR
C-09358-48101,30-Dec-09,23-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,31-Oct-10,"GILLETTE SHOWS, INC.",291 PECKS ROAD,,PITTSFIELD,MA,01201,JOE NICHOLS,SANFORD,FL,349.664-010,AMUSEMENT PARK WORKER,39,39,358.4,WK,358.4,WK
C-09362-48202,31-Dec-09,24-Dec-09,CERTIFIED,H-2B,MA,1-Apr-10,31-Oct-10,"CRYSTAL ROCK AMUSEMENTS, INC. DBA CASTLEROCK SHOWS",35 GRANT ST.,,PITSFIELD,MA,01201,"JOE ANGEL NICHOLS - LAW OFFICE OF JOE A. NICHOLS,",SANFORD,FL,349.664-010,AMUSEMENT PARK WORKER,30,30,358.4,WK,358.4,WK
C-10035-49219,10-Feb-10,4-Feb-10,CERTIFIED,H-2B,MA,1-Apr-10,15-Dec-10,CLASSICAL TENTS AND PARTY GOODS,140 CRYSTAL ST.,PO BOX 401,LENOXDALE,MA,01242,STEVEN MCKAY,HUDSON,NY,382.664-010,JANITOR,12,12,8.84,HR,8.84,HR
C-10099-49845,12-Apr-10,9-Apr-10,CERTIFIED,H-2B,MA,10-May-10,30-Nov-10,HILDO SOUZA NASCIMENTO DBA PRO MASTER LANDSCAPING,PO BOX 2591,,WORCESTER,MA,01602,PETER JAMES CRAMER,SUDBURY,MA,408.687-014,"LABORER, LANDSCAPE",8,8,10,HR,10,HR
C-10229-50858,26-Aug-10,17-Aug-10,DENIED,H-2B,MA,1-Nov-10,1-Nov-12,ADAM FOX,26 TRAVIS ST.,,WORCESTER,MA,01604,,,,301.677-010,CHILD MONITOR,1,0,12,HR,12,HR
