CASE_NUMBER,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
C-12264-59812,10/1/12,9/20/12,DENIED,H-2B,KY,1/1/13,9/30/13,STERLING EQUESTRAIN LLC,1451 WALNUT HILL ROAD,,LEXINGTON,KY,40515,JOHN GISMONDI,WESTBURY,NY,39-2021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,0,8.25,HR,8.25,HR
C-12219-59542,10/1/12,8/6/12,DENIED,H-2B,FL,12/1/12,8/30/13,LIPA MANAGEMENT CONSULTING INC. DBA LIPA MANAGEMEN,1500 REYNOLDS STREET,,KEY WEST,FL,33040,MICHELE MCCARTHY / HEM INTERNATIONAL SERVICES,JAMAICA,NY,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,DINING ROOM ATTENDANT,0,8.04,HR,8.04,HR
C-12262-59800,10/1/12,9/18/12,Certified,H-2B,CA,12/1/12,5/5/13,SQUAW VALLEY SKI HOLDINGS LLC,1901 CHAMONIX PLACE,PO BOX 2007,OLYMPIC VALLEY,CA,96146,,,,39-9031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",40,14.96,HR,14.96,HR
C-12261-59787,10/1/12,9/17/12,Certified,H-2B,UT,11/1/12,5/15/13,SNOWBIRD CORPORATION,P.O BOX 929000,STATE HWY 210,SNOWBIRD,UT,84092,BARBARA V. MELENDEZ/KUCK IMMIGRATION PARTENRS LLC,SALT LAKE CITY,UT,37-2012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",35,9.52,HR,9.52,HR
C-12228-59612,10/1/12,8/15/12,DENIED,H-2B,MS,10/1/12,8/1/13,"CONSTRUCTOR SERVICES, INC. DBA CONSTRUCTOR SERVICE",1895 BEAVER RIDGE CIRCLE SUITE A,,NORCROSS,GA,30071,"ASHIK R. JAHAN/ HALL BOOTH SMITH & SLOVER, P.C.",ATLANTA,FL,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","ASSEMBLER INSTALLER, GENERAL",0,12.39,HR,12.39,HR
C-12241-59675,10/1/12,8/28/12,Partial Certified,H-2B,TX,10/20/12,8/19/13,"ATX ENVIRONMENTAL SOLUTIONS, LLC",8200 CAMERON ROAD,SUITE 164,AUSTIN,TX,78754,"RICHARD YU JUNG/JUNG KO, PLLC",AUSTIN,TX,47-2152,"Plumbers, Pipefitters, and Steamfitters",PLUMBER,68,26.25,HR,26.25,HR
C-12257-59780,10/2/12,9/13/12,Certified,H-2B,OH,8/15/12,5/31/13,"EL CANDY, LLC",2105 LOCUST ST. S,,CANAL FULTON,OH,44614,LINDA PEREZ,BROWNSVILLE,TX,51-9199,"Production Workers, All Other",FOOD MIXER,5,8.57,HR,8.57,HR
C-12257-59777,10/2/12,9/13/12,Partial Certified,H-2B,ID,11/1/12,9/30/13,"IMPERIAL FORESTRY, INC.",321 S. ORANGE STREET,,MEDFORD,OR,97501,NICOLE NEWTON/LABOR CONSULTANTS INTERNATIONAL,COEUR D'ALENE,ID,45-4011,Forest and Conservation Workers,FOREST WORKER,72,9.37,HR,9.37,HR
C-12261-59785,10/2/12,9/17/12,Certified,H-2B,KY,10/1/12,7/31/13,MILLER TRUST FARM,1175 GRIMES MILL RD.,,LEXINGTON,KY,40515,LAURA ELIZABETH CONLEY MORGAN/CONLEY-MORGAN LAW GR,LEXINGTON,KY,39-2021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,3,8.08,HR,8.08,HR
C-12261-59784,10/2/12,9/17/12,Partial Certified,H-2B,LA,10/25/12,3/31/13,STAN SWEENEY LLC,4687 HIGHWAY 63 SOUTH,,HERMITAGE,AR,71647,,,,45-4011,Forest and Conservation Workers,TREE PLANTER,105,12.49,HR,12.49,HR
C-12270-59842,10/2/12,9/26/12,Certified,H-2B,AR,11/15/12,5/30/13,"FUTURE HARVEST FORESTRY SERVICE, LLC",233 HWY 133S,,FOUNTAIN HILL,AR,71642,"PATRICIA M. HALL / AGWORKS H2, LLC",LAKE PARK,GA,45-4011,Forest and Conservation Workers,FOREST WORKER,117,10.32,HR,10.32,HR
C-12264-59810,10/2/12,9/20/12,Certified,H-2B,TX,11/5/12,8/30/13,REINFORCING STEEL SUPPLY,13730 AVENUE K,,AUSTIN,TX,78728,KEMAL IAN BENOUIS/BENOUIS LAW OFFICE,MANCHACA,TX,51-9198,Helpers--Production Workers,"LABORER, GENERAL",10,8.25,HR,8.25,HR
C-12270-59839,10/2/12,9/26/12,Certified,H-2B,AR,11/1/12,6/30/13,"MENDIOLA FORESTRY SERVICES, LLC",PO BOX 69,,WARREN,AR,71671,"PATRICIA M. HALL / AGWORKS H2, LLC",LAKE PARK,GA,45-4011,Forest and Conservation Workers,FOREST WORKER,49,10.32,HR,10.32,HR
C-12261-59793,10/2/12,9/17/12,DENIED,H-2B,VA,11/1/12,9/1/13,PRO LABOR TEMPS LLC,505 HALIFAX ST,,EMPORIA,VA,23847,,,,51-9198,Helpers--Production Workers,"LABORER, CONSTRUCTION OR LEAK GANG",0,7.35,HR,7.35,HR
C-12233-59634,10/2/12,8/20/12,DENIED,H-2B,OK,11/1/12,6/30/13,"GARY HESS CONTRACTING, INC.",ROUTE 1 BOX 555,,GARVIN,OK,74736,,,,45-4011,Forest and Conservation Workers,FOREST WORKER,0,13.09,HR,13.09,HR
C-12261-59790,10/2/12,9/17/12,DENIED,H-2B,FL,9/1/12,8/31/13,MAID OF HONOR LLC,129 CYPRESS BREEZE BLVD.,,SANTO ROSA BEACH,FL,32549,,,,37-2012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",0,8.42,HR,8.42,HR
